osm_type,osm_id,name,operator,operator_wikidata,ref,lat,lon,footprint_m2,county_fips,state,first_seen
node,10910879065,Centersquare Chicago Data Center - ORD1,Centersquare,Q127304226,ORD1,41.853383,-87.618607,0.0,17031,IL,2023-05-19
node,10938672218,K-Motion Interactive,,,,33.634484,-111.884346,0.0,04013,AZ,2023-05-30
node,10945121336,West Monroe,,,,41.880527,-87.635938,0.0,17031,IL,2023-06-01
node,11018926315,Iron Mountain Data Centers AZS-1,,,,33.644666,-111.896098,0.0,04013,AZ,2023-07-02
node,11098469355,CoreSite Chicago Data Center (CH1),CoreSite,Q5170140,CH1,41.875940,-87.631466,0.0,17031,IL,2023-08-08
node,11113161710,Accelera Data Systems,,,,33.664746,-112.111714,0.0,04013,AZ,2023-08-14
node,11167641842,Expedient Owings Mills,Expedient,,,39.427318,-76.811550,0.0,24005,MD,2023-09-04
node,11168593074,Lumen Baltimore,Lumen Technologies,Q5063092,,39.291759,-76.620402,0.0,24510,MD,2023-09-05
node,11168593094,Expedient Tidepoint,Expedient,,,39.274655,-76.591671,0.0,24510,MD,2023-09-05
node,11400893880,Flexential - Denver - Centennial Data Center,Flexential,Q115417504,,39.593873,-104.843160,0.0,08005,CO,2023-12-07
node,11666916913,EdgeConneX Data Center,EdgeConneX,Q115477226,,33.395586,-111.970076,0.0,04013,AZ,2024-02-26
node,11815482844,,,,,41.807282,-83.627629,0.0,26115,MI,2024-04-13
node,11924506303,IT,,,,33.910290,-117.503021,0.0,06065,CA,2024-05-22
node,11938614120,"Alembic Computer Services, Inc.",,,,33.405131,-111.977335,0.0,04013,AZ,2024-05-28
node,11938631189,J-Curve Technologies,,,,33.413186,-111.971154,0.0,04013,AZ,2024-05-28
node,12112201416,Flexential Cincinnati,Flexential,Q115417504,,39.315931,-84.449464,0.0,39017,OH,2024-08-15
node,12112236372,Flexential Denver - Downtown,Flexential,Q115417504,,39.745970,-104.994159,0.0,08031,CO,2024-08-15
node,12112238944,Flexential Dallas - Downtown Dallas,Flexential,Q115417504,,32.800410,-96.819371,0.0,48113,TX,2024-08-15
node,12112266917,Flexential Jacksonville,Flexential,Q115417504,,30.245748,-81.581723,0.0,12031,FL,2024-08-15
node,12112270180,Flexential - Denver - Aurora,Flexential,Q115417504,,39.661049,-104.848832,0.0,08005,CO,2024-08-15
node,12112295055,Flexential Nashville - Brentwood,Flexential,Q115417504,,35.972729,-86.808495,0.0,47187,TN,2024-08-15
node,12112361725,Flexential Raleigh,Flexential,Q115417504,,35.850528,-78.829143,0.0,37183,NC,2024-08-15
node,12112380995,Flexential Tampa - West,Flexential,Q115417504,,28.037299,-82.539978,0.0,12057,FL,2024-08-15
node,12112382397,Flexential Salt Lake City - Lindon,Flexential,Q115417504,,40.332648,-111.727875,0.0,49049,UT,2024-08-15
node,12221811811,Digital Realty New York JFK13,Digital Realty,Q5275969,JFK13,40.719928,-74.004458,0.0,36061,NY,2024-10-04
node,12221880448,Digital Realty New York JFK12,Digital Realty,Q5275969,JFK12,40.717677,-74.008441,0.0,36061,NY,2024-10-04
node,12331366645,CoreSite AT1,CoreSite,Q5170140,AT1,33.755986,-84.391171,0.0,13121,GA,2024-11-11
node,12387534800,UNM Data Center,UNM,,UNM,35.086739,-106.615348,0.0,35001,NM,2024-12-01
node,12437277166,Prime Santa Clara,Prime,,,37.366662,-121.962865,0.0,06085,CA,2024-12-20
node,12452254071,Open Data Centers Piscataway,,,,40.550350,-74.456856,0.0,34023,NJ,2024-12-25
node,12471740457,H5 Secaucus,H5,,,40.785395,-74.075012,0.0,34017,NJ,2025-01-03
node,12550746951,"Forescout Technologies, Inc.",,,,37.322868,-121.947418,0.0,06085,CA,2025-02-02
node,12682482760,Lumen Albany 4,Lumen Technologies,Q5063092,,42.735631,-73.818665,0.0,36001,NY,2025-03-20
node,12695496267,Equinix Chicago Data Center - CH1,Equinix,Q851641,CH1,41.853558,-87.618048,0.0,17031,IL,2025-03-24
node,12708029111,501 West,,,,40.315558,-74.668851,0.0,34021,NJ,2025-03-28
node,12766117170,Dataverge,Dataverge,,,40.657696,-74.004816,0.0,36047,NY,2025-04-18
node,12793428582,TulsaConnect DC3,,,,36.099474,-95.838283,0.0,40143,OK,2025-04-27
node,13019681063,Comarch,,,,33.356679,-111.635236,0.0,04013,AZ,2025-07-23
node,13042311881,CoreSite - LA2,CoreSite,Q5170140,LA2,34.058479,-118.235914,0.0,06037,CA,2025-08-02
node,13154826378,NTT Ashburn VA7 Data Center,NTT,Q1054787,VA7,39.016014,-77.471954,0.0,51107,VA,2025-09-19
node,13154826379,NTT VA11 Data Center,NTT,Q1054787,VA11,38.799973,-77.609964,0.0,51153,VA,2025-09-19
node,13226718075,Lumen Madison 1 Data Center,Lumen Technologies,Q5063092,,43.067716,-89.392279,0.0,55025,WI,2025-10-11
node,13311012216,Fiberhub LAS1,Fiberhub,,LAS1,36.065929,-115.138560,0.0,32003,NV,2025-11-17
node,13409186015,DāStor: 3400 Horizon Drive,,,,40.087919,-75.339720,0.0,42091,PA,2025-12-26
node,13465438761,Rad Web Hosting,,,,32.778447,-96.798496,0.0,48113,TX,2026-01-19
node,13546262077,Alpha Federal,Alpha Innovations,,,38.353177,-81.696182,0.0,54039,WV,2026-02-12
node,13603878193,Parsec Data Management,,,,45.743079,-108.603014,0.0,30111,MT,2026-02-26
